,Unnamed: 0,business_id,name,city,state,postal_code,latitude,longitude,is_open,categories,attributes.GoodForKids,attributes.NoiseLevel,attributes.RestaurantsDelivery,attributes.GoodForMeal,attributes.Alcohol,attributes.Caters,attributes.WiFi,attributes.RestaurantsTakeOut,attributes.BusinessAcceptsCreditCards,attributes.Ambience,attributes.BusinessParking,attributes.RestaurantsTableService,attributes.RestaurantsGoodForGroups,attributes.OutdoorSeating,attributes.HasTV,attributes.BikeParking,attributes.RestaurantsReservations,attributes.RestaurantsPriceRange2,attributes.RestaurantsAttire,attributes.BusinessAcceptsBitcoin,attributes.ByAppointmentOnly,attributes.AcceptsInsurance,attributes.Music,attributes.GoodForDancing,attributes.CoatCheck,attributes.HappyHour,attributes.BestNights,attributes.WheelchairAccessible,attributes.DogsAllowed,attributes.BYOBCorkage,attributes.DriveThru,attributes.Smoking,attributes.AgesAllowed,attributes.HairSpecializesIn,attributes.Corkage,attributes.BYOB,attributes.DietaryRestrictions,attributes.Open24Hours,attributes.RestaurantsCounterService,hours.Monday,hours.Wednesday,hours.Thursday,hours.Friday,hours.Saturday,hours.Sunday,hours.Tuesday,order,circle
15319,3199,17059,Wendy's,Matthews,NC,28105,35.1194771,-80.697552,1,"Burgers, Fast Food, Restaurants",TRUE,'quiet',FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",'none',,,TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,FALSE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,142948,0
15432,3312,118468,Wendy's,Cornelius,NC,28031,35.4825597,-80.8764789,1,"Restaurants, Burgers, Fast Food",TRUE,u'quiet',FALSE,,u'none',FALSE,u'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,FALSE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,10:0-3:0,10:0-3:0,10:0-3:0,10:0-3:0,10:0-3:0,10:0-3:0,10:0-3:0,147971,0
15536,3416,184562,Wendy's,Charlotte,NC,28273,35.136574,-80.9066664,1,"Restaurants, Burgers, Fast Food",TRUE,u'average',FALSE,,u'none',FALSE,'free',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,FALSE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,152678,0
15547,3427,18873,Wendy's,Charlotte,NC,28212,35.1796815,-80.7536019,0,"Fast Food, Hot Dogs, Burgers, Restaurants",,,FALSE,,u'none',,,,,,,,,,,,,,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,153222,0
15765,186,35583,Wendy's,Henderson,NV,89074,36.03334718,-115.0462934,1,"Restaurants, Fast Food, Burgers, Food",TRUE,u'quiet',FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',FALSE,'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",FALSE,TRUE,FALSE,FALSE,TRUE,0,1,u'casual',,,,,,,,,,,,1,,,,,,,,,,,,,,,,4442,0
15805,226,80880,Wendy's,Las Vegas,NV,89107,36.1697444,-115.2054358,0,"Fast Food, Hot Dogs, Burgers, Restaurants",TRUE,,FALSE,,,,,TRUE,TRUE,,,,,FALSE,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5412,1
15906,327,117598,Wendy's,Las Vegas,NV,89102,36.1449223,-115.2001708,1,"Restaurants, Fast Food, Burgers",TRUE,,FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',FALSE,,TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,FALSE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,7593,0
16497,918,158956,Wendy's,Las Vegas,NV,89119,36.08481209,-115.151201,1,"Fast Food, Restaurants, American (Traditional), Burgers",TRUE,u'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': True}",u'none',FALSE,'free',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': True, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,5:0-21:0,5:0-21:0,5:0-21:0,5:0-21:0,5:0-21:0,5:0-21:0,5:0-21:0,22743,0
16546,967,98843,Wendy's,Las Vegas,NV,89130,36.2424474,-115.2349356,1,"Hot Dogs, Fast Food, Burgers, Restaurants",TRUE,u'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',FALSE,u'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,23789,0
16817,1238,164682,Wendy's,Las Vegas,NV,89115,36.217336,-115.0948022,1,"Burgers, Restaurants, Fast Food",FALSE,u'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',FALSE,'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,30031,0
16818,1239,129701,Wendy's,Las Vegas,NV,89123,36.056,-115.118716,1,"Burgers, Restaurants, Fast Food",TRUE,u'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',FALSE,'free',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,TRUE,FALSE,TRUE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,30061,0
16834,1255,132157,Wendy's,Henderson,NV,89074,36.026794,-115.0847324,1,"Burgers, Restaurants, Fast Food",TRUE,u'quiet',FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',FALSE,u'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,1,,,,,,,,,,,,,,,,30436,0
16872,1293,37892,Wendy's,Henderson,NV,89052,35.9919953,-115.1022222,1,"Restaurants, Fast Food, Burgers",TRUE,u'average',FALSE,"{'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',FALSE,'free',TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,31088,0
17274,1695,26251,Wendy's,Las Vegas,NV,89117,36.1443352,-115.269105,1,"Fast Food, Burgers, Hot Dogs, Restaurants",TRUE,,FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',,,TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,40671,0
17306,1727,117982,Wendy's,Las Vegas,NV,89169,36.1429731,-115.1192942,1,"Restaurants, Burgers, Fast Food",TRUE,,FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',FALSE,'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,41379,0
17770,2191,122391,Wendy's,Las Vegas,NV,89128,36.1964299,-115.2479644,1,"Hot Dogs, Burgers, Restaurants, Fast Food",TRUE,u'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',FALSE,u'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,52704,1
17935,2356,108628,Wendy's,Las Vegas,NV,89117,36.1596445,-115.2896481,1,"Burgers, Restaurants, Fast Food",TRUE,u'average',FALSE,"{'dessert': True, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}",u'none',FALSE,'free',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,TRUE,FALSE,TRUE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,57362,1
18289,2710,187111,Wendy's,Las Vegas,NV,89147,36.11706,-115.279457,1,"Fast Food, Restaurants, Burgers",TRUE,'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",'none',FALSE,u'no',TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,'casual',,,,,,,,,,,,TRUE,,,,,,,,,9:0-1:0,9:0-1:0,9:0-1:0,9:0-1:0,9:0-1:0,9:0-1:0,9:0-1:0,66474,0
18411,2832,33330,Wendy's,Henderson,NV,89014,36.0633205,-115.0355938,1,"Burgers, Restaurants, Fast Food",TRUE,u'quiet',FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",u'none',FALSE,u'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,9:0-2:0,9:0-2:0,9:0-2:0,9:0-2:0,9:0-2:0,9:0-2:0,9:0-2:0,69522,0
18947,3368,6954,Wendy's,Las Vegas,NV,89103,36.11485465,-115.2263434,1,"Fast Food, Restaurants, Burgers",TRUE,'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",'none',FALSE,'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,'casual',,,,,,,,,,,,TRUE,,,,,,,,,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,82703,0
18984,3405,28299,Wendy's,North Las Vegas,NV,89032,36.2390416,-115.1593181,1,"Fast Food, Restaurants, Burgers",TRUE,'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',FALSE,'free',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,83851,0
19185,3606,81556,Wendy's,Las Vegas,NV,89121,36.1151773,-115.0700843,1,"Restaurants, Fast Food, Burgers",TRUE,'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',FALSE,'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,88796,0
19364,3785,20443,Wendy's,Las Vegas,NV,89106,36.180793,-115.1783787,1,"Restaurants, Burgers, Fast Food, Hot Dogs",TRUE,'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",'none',FALSE,'free',TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",FALSE,TRUE,FALSE,FALSE,,FALSE,1,u'casual',,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,93116,0
20020,4441,11351,Wendy's,Las Vegas,NV,89146,36.1574851,-115.2441902,1,"Hot Dogs, Burgers, Restaurants, Fast Food",TRUE,,FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",'none',FALSE,'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,109690,1
20028,4449,152197,Wendy's,Henderson,NV,89015,36.0345735,-115.0014404,1,"Restaurants, Burgers, Fast Food",TRUE,'quiet',FALSE,,'none',,,TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,109826,0
20049,4470,72639,Wendy's,Las Vegas,NV,89109,36.10315363,-115.1723154,1,"Restaurants, Burgers, Fast Food",TRUE,,FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",,,,TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,110228,1
20068,4489,113334,Wendy's,Henderson,NV,89015,36.0353125,-114.9761798,1,"Burgers, Fast Food, Restaurants",TRUE,'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",'none',FALSE,'no',TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,FALSE,FALSE,FALSE,FALSE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,110691,0
20435,4856,79603,Wendy's,Las Vegas,NV,89123,36.01872585,-115.1191147,1,"Fast Food, Burgers, Restaurants",TRUE,'average',FALSE,"{'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',FALSE,'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,'casual',,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,119812,0
20814,5235,62273,Wendy's,Henderson,NV,89014,36.0712184,-115.0759988,1,"Restaurants, Burgers, Fast Food",TRUE,u'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',FALSE,u'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,u'casual',,,,,,,,,,,,TRUE,,,,,,,,,9:0-1:0,9:0-1:0,9:0-1:0,9:0-1:0,9:0-1:0,9:0-1:0,9:0-1:0,129103,0
21157,5578,85320,Wendy's,Las Vegas,NV,89103,36.1149289,-115.201958,0,"Burgers, Fast Food, Restaurants",TRUE,'quiet',FALSE,,'none',FALSE,'no',TRUE,TRUE,,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,FALSE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,137508,0
21459,5880,58608,Wendy's Noodle Cafe,Las Vegas,NV,89146,36.12754745,-115.2252169,1,"Chinese, Noodles, Seafood, Restaurants",TRUE,u'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",u'beer_and_wine',TRUE,u'free',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,2,u'casual',FALSE,,,,,,,,TRUE,FALSE,,,,,,,,,,,,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,145185,0
21530,5951,103092,Wendy's,Las Vegas,NV,89108,36.2186011,-115.2437735,1,"Restaurants, Burgers, Fast Food",TRUE,'average',FALSE,,'none',FALSE,'no',TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,146896,0
21621,6042,142654,Wendy's,Las Vegas,NV,89102,36.1585672,-115.1648998,1,"Restaurants, Burgers, Fast Food",TRUE,,FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',,u'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,9:0-1:0,9:0-1:0,9:0-1:0,9:0-1:0,9:0-1:0,9:0-1:0,9:0-1:0,149241,1
21653,6074,5340,Wendy's,Las Vegas,NV,89109,36.12745337,-115.168979,0,"Fast Food, Restaurants, Burgers",TRUE,,FALSE,,,,,TRUE,TRUE,,,,TRUE,TRUE,FALSE,FALSE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,150027,1
21667,6088,154599,Wendy's,Las Vegas,NV,89110,36.1774812,-115.0616815,1,"Restaurants, Fast Food, Burgers",TRUE,u'loud',FALSE,,'none',FALSE,u'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,FALSE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,150292,0
21904,92,33378,Wendy's,Cleveland,OH,44121,41.5210219,-81.5347328,1,"Burgers, Fast Food, Restaurants",TRUE,,,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",'none',FALSE,'no',TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,FALSE,0,1,'casual',,,,,,,,,,,,,,,,,,,,,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,11:0-22:0,10:0-0:0,3045,
21936,124,30218,Wendy's,North Olmsted,OH,44070,41.4186553,-81.9177204,1,"Fast Food, Burgers, Hot Dogs, Restaurants",TRUE,,FALSE,,,,,TRUE,FALSE,,,,TRUE,,,TRUE,0,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,4540,
22076,264,32039,Wendy's,Akron,OH,44333,41.13413625,-81.64313779,1,"Fast Food, Restaurants, Burgers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9602,
22181,369,105936,Wendy's,Parma,OH,44129,41.3758108,-81.735203,1,"Burgers, Fast Food, Restaurants",TRUE,u'quiet',FALSE,,,FALSE,,TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,TRUE,,,,FALSE,,'casual',,,,,,,,,,,,,,,,,,,,,10:30-0:0,10:30-0:0,10:30-0:0,10:30-0:0,10:30-0:0,10:30-23:0,10:30-0:0,13084,
22299,487,84564,Wendy's,Cleveland,OH,44129,41.4189318,-81.7307099,1,"Burgers, Fast Food, Restaurants",TRUE,u'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",u'none',,,TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,u'casual',,,,,,,,,,,,1,,,,,,,,,,,,,,,,17207,
22330,518,72114,Wendy's,Cleveland,OH,44130,41.3692811,-81.8046083,1,"Hot Dogs, Fast Food, Restaurants, Burgers",TRUE,,FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",,,,TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",,,TRUE,,,FALSE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,17902,
22642,830,80497,Wendy's,Chardon,OH,44024,41.5894389,-81.2219784,1,"Restaurants, Burgers, Fast Food",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29343,
22806,994,133525,Wendy's,Cleveland Heights,OH,44118,41.5010333,-81.5634775,1,"Restaurants, Burgers, Fast Food",TRUE,u'average',FALSE,,u'none',FALSE,,TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,,,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,34797,
23024,1212,24461,Wendy's,Painesville,OH,44077,41.6995618,-81.277649,1,"Restaurants, Burgers, Fast Food",TRUE,'average',FALSE,,'none',FALSE,'free',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,,TRUE,,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,42420,
23073,1261,141125,Wendy's,Independence,OH,44131,41.39494242,-81.64238547,1,"Fast Food, Restaurants, Burgers",TRUE,,FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',FALSE,,TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",,,TRUE,,FALSE,,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,10:30-0:0,10:30-0:0,10:30-0:0,10:30-0:0,10:30-0:0,10:30-0:0,10:30-0:0,44290,
23121,1309,82789,Wendy's,Cleveland,OH,44111,41.4546933,-81.790696,1,"Burgers, Fast Food, Restaurants",,,,,,,,,TRUE,,,,TRUE,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45819,
